z_window,z_threshold,hold_days,stop_level,signal_date,entry_date,exit_date,signal_z,entry_price,exit_price,position_return,account_return,mae,mfe,worst_day_date,best_day_date,exit_reason
5,-1.5,4,-0.1,2023-05-24,2023-05-25,2023-05-31,-1.620147000082624,17.81441975929096,20.706066495895385,0.16232056815077067,0.08116028407538534,-0.030154905177355085,0.36427469591050765,2023-05-25,2023-05-30,fixed_hold
5,-1.5,4,-0.1,2023-06-21,2023-06-22,2023-06-27,-1.5367256032679815,21.889763038710516,23.89531789970398,0.0916206748079813,0.04581033740399065,-0.035076250088668326,0.09809395589926218,2023-06-23,2023-06-27,fixed_hold
5,-1.5,4,-0.1,2023-07-20,2023-07-21,2023-07-26,-1.5592562770758411,24.571947338193407,24.571875314712525,-2.9311262917941505e-06,-1.4655631458970753e-06,-0.032954397420188464,0.06211261617250474,2023-07-26,2023-07-25,fixed_hold
5,-1.5,4,-0.1,2023-11-28,2023-11-29,2023-12-04,-1.6248499813691801,23.087321722793842,21.911721130371095,-0.05091974749336514,-0.02545987374668257,-0.09340447895384196,0.034770863636318206,2023-12-04,2023-11-29,fixed_hold
5,-1.5,4,-0.1,2023-12-20,2023-12-21,2023-12-27,-1.7501441937884,29.343186824371703,31.84388146018982,0.08522232608153879,0.042611163040769395,-0.014430934394354167,0.09940489030917754,2023-12-21,2023-12-27,fixed_hold
5,-1.5,4,-0.1,2024-01-02,2024-01-03,2024-01-08,-1.7513324089820301,26.226398927687423,27.985212329864503,0.067062710630863,0.0335313553154315,-0.06825022276549342,0.07714776566248194,2024-01-04,2024-01-08,fixed_hold
5,-1.5,4,-0.1,2024-07-17,2024-07-18,2024-07-19,-1.7484324617580844,53.61349232796229,48.20389095207089,-0.1009000000000001,-0.05045000000000005,-0.1376793454216685,-0.000814578302764768,2024-07-19,2024-07-18,stop
5,-1.5,4,-0.1,2024-08-22,2024-08-23,2024-08-28,-1.5300359469436613,38.764848136981854,36.15829022598267,-0.0672402456418375,-0.03362012282091875,-0.09972557372665947,0.051298018759800446,2024-08-28,2024-08-23,fixed_hold
5,-1.5,4,-0.1,2024-10-15,2024-10-16,2024-10-21,-1.5669315397003583,35.45196556078818,34.7279440498352,-0.020422605615802225,-0.010211302807901113,-0.05744602052934822,0.043991199123773805,2024-10-21,2024-10-17,fixed_hold
5,-1.5,4,-0.1,2024-10-23,2024-10-24,2024-10-29,-1.6612049571313434,34.291726384048516,37.588125743865966,0.09612812498558942,0.04806406249279471,-0.03133312598791682,0.11080347725166706,2024-10-24,2024-10-29,fixed_hold
5,-1.5,4,-0.1,2024-10-31,2024-11-01,2024-11-06,-1.5471610017497275,30.43414868211951,33.76794843292236,0.10954141630915748,0.05477070815457874,-0.02313382443864931,0.12302161660438049,2024-11-04,2024-11-06,fixed_hold
5,-1.5,4,-0.1,2024-11-27,2024-11-29,2024-12-04,-1.5306464537963547,27.320324729827092,30.561380378723143,0.1186316663856346,0.0593158331928173,-0.0028120423476765133,0.14440916801460912,2024-11-29,2024-12-04,fixed_hold
5,-1.5,4,-0.1,2024-12-10,2024-12-11,2024-12-16,-1.5405056717094612,28.093825835278203,32.17456507873535,0.14525395250129458,0.07262697625064729,-0.02180421411918987,0.16191616276271814,2024-12-12,2024-12-16,fixed_hold
5,-1.5,4,-0.1,2024-12-30,2024-12-31,2025-01-06,-1.6223834245345135,28.044007692724232,32.24572187805176,0.14982573929394638,0.07491286964697319,-0.04598948652072499,0.19136184023174208,2024-12-31,2025-01-06,fixed_hold
5,-1.5,4,-0.1,2025-05-21,2025-05-22,2025-05-23,-1.6680343735290697,16.92852358573872,15.220435555937684,-0.10089999999999999,-0.050449999999999995,-0.11108332169830248,0.03432221966269511,2025-05-23,2025-05-28,stop
5,-1.5,4,-0.1,2025-07-22,2025-07-23,2025-07-28,-1.6680922567873604,25.668191678003822,26.84532019042969,0.04585942504997731,0.022929712524988655,-0.03293582125097405,0.05119057018449635,2025-07-25,2025-07-28,fixed_hold
5,-1.5,4,-0.1,2025-08-29,2025-09-02,2025-09-05,-1.590027342802083,24.097078995766488,26.415875644683837,0.09622729166986299,0.048113645834931495,-0.012615320208555825,0.118897667074225,2025-09-02,2025-09-05,fixed_hold
5,-1.5,4,-0.1,2025-10-10,2025-10-13,2025-10-16,-1.6157459693087943,38.26822954177856,40.529429695129394,0.059088183081012824,0.029544091540506412,-0.060578417308494226,0.09568696559111944,2025-10-14,2025-10-16,fixed_hold
5,-1.5,4,-0.1,2025-10-22,2025-10-23,2025-10-28,-1.5161545276135102,37.76772954177856,46.913039085388185,0.24214612989888917,0.12107306494944459,-0.005764982628282067,0.26060001985783954,2025-10-23,2025-10-28,fixed_hold
5,-1.5,4,-0.1,2025-11-04,2025-11-05,2025-11-07,-1.7076258163186988,43.26322122192382,38.89796220063171,-0.10089999999999999,-0.050449999999999995,-0.14384551428738357,0.1194265923184119,2025-11-07,2025-11-05,stop
5,-1.5,4,-0.1,2025-12-12,2025-12-15,2025-12-17,-1.7394666220686492,43.15311061096191,38.798961750315854,-0.10089999999999999,-0.050449999999999995,-0.17271315421996924,0.006184665582731119,2025-12-17,2025-12-15,stop
5,-1.5,4,-0.1,2026-06-05,2026-06-08,2026-06-09,-1.5506494524841412,210.83061511230466,189.55780604747312,-0.10089999999999999,-0.050449999999999995,-0.25267021834250625,0.09576118321052118,2026-06-09,2026-06-09,stop
5,-1.5,4,-0.12,2021-01-27,2021-01-28,2021-02-02,-1.652227605376462,33.97682661564093,37.830029136657714,0.1134067805862422,0.0567033902931211,-0.06093790348275063,0.11771803003140269,2021-01-29,2021-02-02,fixed_hold
5,-1.5,4,-0.12,2021-04-19,2021-04-20,2021-04-23,-1.5301654733372843,37.88527048848852,38.914499610900876,0.027166999447056472,0.013583499723528236,-0.05144835914580437,0.04407239273049046,2021-04-20,2021-04-21,fixed_hold
5,-1.5,4,-0.12,2021-04-30,2021-05-03,2021-05-04,-1.5340657262513107,36.63245801109698,32.20432648671558,-0.12087999999999988,-0.06043999999999994,-0.15249117195864725,0.0008549163603861487,2021-05-04,2021-05-03,stop
5,-1.5,4,-0.12,2021-06-18,2021-06-21,2021-06-24,-1.5633814405215496,36.46736610975757,39.81587623214722,0.09182209958107412,0.04591104979053706,-0.026539348906163718,0.09690563639212413,2021-06-21,2021-06-24,fixed_hold
5,-1.5,4,-0.12,2021-07-08,2021-07-09,2021-07-14,-1.5024615726842836,39.021529670964775,40.86263802337646,0.047181860063820746,0.023590930031910373,-0.02412172939335977,0.11362018186918399,2021-07-09,2021-07-14,fixed_hold
5,-1.5,4,-0.12,2021-07-15,2021-07-16,2021-07-19,-1.6459638002397239,38.87585920329437,34.176545342800146,-0.12087999999999999,-0.060439999999999994,-0.1337665538087236,0.04442120614513634,2021-07-19,2021-07-21,stop
5,-1.5,4,-0.12,2021-07-27,2021-07-28,2021-08-02,-1.6579915487648518,38.39997777022574,43.818781551361084,0.14111476349178864,0.07055738174589432,-0.01413711341070012,0.18470320900844084,2021-07-28,2021-08-02,fixed_hold
5,-1.5,4,-0.12,2021-08-10,2021-08-11,2021-08-16,-1.5971490283556768,43.760834016372606,41.68647842788696,-0.04740210361871866,-0.02370105180935933,-0.07859555425026565,0.0003311725284307343,2021-08-12,2021-08-11,fixed_hold
5,-1.5,4,-0.12,2021-08-17,2021-08-18,2021-08-23,-1.630351519681503,39.12836353371473,42.34555532455445,0.08222147568394056,0.04111073784197028,-0.07910427959057098,0.08578436299906955,2021-08-19,2021-08-23,fixed_hold
